EIN,Name,City,Classification Code,Name_Length,Name_Word_Count,city_freq,state_freq,city_freq_log,state_freq_log,State_CA,State_DC,State_FL,State_MA,State_MD,State_ME,State_NH,State_NJ,State_NY,State_SC,State_TX,State_VT,Class_Prefix_GR,Class_Prefix_PC,Class_Prefix_PF,Class_Prefix_PO,Class_Prefix_SO,Class_Prefix_UN,Name_Length_Bin_long,Name_Length_Bin_medium
10283351,Chebeague Island Council,Chebeague Island,PC,24,3,-0.5920219254460324,0.2481267638050747,-1.0348499941084262,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10220759,Warren Memorial Foundation,Westbrook,POF,26,3,-0.1156094317931093,0.2481267638050747,0.4094648284784829,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
10131335,Oak Grove Cemetery Asso,Gardiner,EO,23,4,-0.3538156786195708,0.2481267638050747,-0.0802098231884803,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10211803,Plummer Memorial Hospital,Dexter,PF,25,3,-0.5126198431705452,0.2481267638050747,-0.6124149888838903,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10234428,Mt. Pleasant Cemetery Assoc,Eliot,EO,27,4,-0.5126198431705452,0.2481267638050747,-0.6124149888838903,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10339602,First Universalist Church,Rockland,PC,25,3,-0.2744135963440836,0.2481267638050747,0.1097424224095641,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10270690,Natural Resources Council Inc.,Augusta,PC,30,4,0.043194732757865,0.2481267638050747,0.6419475881049745,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10211526,Maine Council of Churches,Portland,PC,25,4,2.901669694675403,0.2481267638050747,2.2318737979032623,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10213833,Longfellow Garden Club Inc.,Portland,PC,27,4,2.901669694675403,0.2481267638050747,2.2318737979032623,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10321143,Acadia Repertory Theatre Inc.,Mount Desert,PC,29,4,-0.3538156786195708,0.2481267638050747,-0.0802098231884803,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10243548,Haystack Mountain School of Crafts,Deer Isle,PC,34,5,-0.5126198431705452,0.2481267638050747,-0.6124149888838903,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
10205019,Riverside Cemetery Corporation,Ft Fairfield,EO,30,3,-0.5126198431705452,0.2481267638050747,-0.6124149888838903,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10247548,The Clarence E Mulford Trust,Fryeburg,PF,28,5,-0.433217760895058,0.2481267638050747,-0.3126925828149715,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10347153,Congregational Church of South Bridgton,Bridgton,PC,39,5,-0.433217760895058,0.2481267638050747,-0.3126925828149715,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
10002847,Hulls Cove Neighborhood Association,Mount Desert,PC,35,4,-0.3538156786195708,0.2481267638050747,-0.0802098231884803,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
10345597,Whitefield Cemetery Corporation,Whitefield,EO,31,3,-0.5920219254460324,0.2481267638050747,-1.0348499941084262,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10219828,Old Orchard Beach Free Public Library Association,Old Orchd Bch,PC,49,7,-0.5920219254460324,0.2481267638050747,-1.0348499941084262,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
10212438,Maine Central Institute,Pittsfield,PC,23,3,-0.5920219254460324,0.2481267638050747,-1.0348499941084262,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10211536,North Yarmouth Academy,Yarmouth,PC,22,3,-0.2744135963440836,0.2481267638050747,0.1097424224095641,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10211481,Bangor Childrens Home,Bangor,PC,21,3,1.2342259668901727,0.2481267638050747,1.59658775902492,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10239549,The Grand Council of Royal and Select Masters of the State,Gardiner,"EO,LODGE",58,11,-0.3538156786195708,0.2481267638050747,-0.0802098231884803,0.245389214790446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1347537,Restoration of Hope Church Ministries,Roxbury,PC,37,5,-0.5920219254460324,-3.9840190891673744,-1.0348499941084262,-3.2284673584027197,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
